model,walk_split,n_bars,mean_pnl,iid_std,hac_std_lag24,iid_pnl_mean_to_std,hac_pnl_mean_to_std_lag24,inflation_factor
sklearn_hist_gradient_boosting,13,5000,0.002275099489453145,0.010554160433556283,0.01914231625898205,0.21556423211263787,0.11885183896622813,1.8137223116412247
persist_class,14,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,14,5000,0.004234242812292339,0.007446315874275866,0.012670192633604015,0.5686359380643529,0.33418930041065337,1.7015384315584323
random_stratified,14,5000,0.00022144634759859634,0.007108746724124326,0.007773908796525921,0.031151250170032566,0.028485843273278227,1.0935695275433424
zscore_rule,14,5000,0.0015255301975554312,0.004950969159774222,0.010023637841261236,0.3081275904423124,0.15219326772519143,2.024580949261728
sklearn_hist_gradient_boosting,14,5000,0.0031501287708862917,0.0075438807604126775,0.012902569748320072,0.4175740405941899,0.2441473932970943,1.7103358547271437
persist_class,15,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,15,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,15,5000,-0.00010532435184297644,0.009114073684800439,0.00787294138082481,-0.011556232205871464,-0.01337801804285022,0.8638224413254999
zscore_rule,15,5000,0.0020452777225157047,0.00782593889565545,0.019787863798268506,0.26134598669702563,0.10336020822493594,2.5284970994667093
sklearn_hist_gradient_boosting,15,5000,0.0036230382187777345,0.009789057694365437,0.022063057430983784,0.370111029263128,0.16421288074470577,2.2538489525588594
persist_class,16,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,16,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,16,5000,8.501893336791974e-05,0.009766292071987238,0.009312245526092968,0.008705344130735192,0.009129799373276421,0.9535088094286452
zscore_rule,16,5000,0.0014008064144488382,0.006160175299416843,0.013723212475219694,0.22739716750941266,0.10207569233357751,2.227730836899854
sklearn_hist_gradient_boosting,16,5000,0.0033560760650103356,0.009466506605042741,0.020175864624973925,0.35452107150303763,0.16634112725241745,2.1312893411204494
persist_class,17,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,17,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,17,5000,-5.960233959926359e-05,0.00800562298831415,0.008202483436564855,-0.007445059514576872,-0.007266377318553251,1.0245902721796998
zscore_rule,17,5000,0.0020830673548130367,0.006160382132345929,0.015020738146234107,0.33813930857886343,0.1386794267054904,2.4382802598179207
sklearn_hist_gradient_boosting,17,5000,0.0032727721826295623,0.007959410776427584,0.017340403278256606,0.4111827212539567,0.18873679753073222,2.1786038898270665
persist_class,18,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,18,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,18,5000,-2.6585972314269292e-06,0.006520787406453606,0.006407812328865357,-0.00040771107317434126,-0.0004148993595600032,0.9826746264605348
zscore_rule,18,5000,0.0017086478690240923,0.005274730436403525,0.010838954240700622,0.3239308415140739,0.15763955000456267,2.054883063956337
sklearn_hist_gradient_boosting,18,5000,0.002774202376203055,0.006898044279967447,0.012832867429983512,0.4021723061795346,0.21617946194326262,1.8603631564458547
persist_class,19,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,19,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,19,5000,5.7202221852180546e-05,0.0046027524072017895,0.004491963187428857,0.012427829435856236,0.012734347870941118,0.9759297894017537
zscore_rule,19,5000,0.0009970630996477652,0.003569216280600956,0.007205256554429846,0.27935070930470135,0.1383799580369922,2.0187223154817286
sklearn_hist_gradient_boosting,19,5000,0.0016733275759543676,0.004620854562774306,0.008624355473318787,0.36212513361375337,0.19402349324899115,1.8663983806797906
persist_class,20,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,20,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,20,5000,6.023297927844117e-05,0.005217822523787908,0.004691639015625364,0.011543700270340873,0.012838366097186298,0.8991564956907431
zscore_rule,20,5000,0.0013723563146816325,0.004483157005856838,0.008885558381580226,0.30611381954474787,0.1544479542812446,1.981986883344047
sklearn_hist_gradient_boosting,20,5000,0.00215080818632474,0.005495274492436521,0.01003798845179408,0.39139231157333954,0.21426685203451573,1.826658243479916
persist_class,21,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,21,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,21,5000,-0.00011307381695149616,0.0054020622203504245,0.00538145527138596,-0.020931602106604618,-0.021011754488182287,0.9961853551247827
zscore_rule,21,5000,0.0014123761271456392,0.0045429635177041405,0.008840252658943455,0.31089312552071874,0.15976648876848273,1.945922001022588
sklearn_hist_gradient_boosting,21,5000,0.002155728655867667,0.005533651745637689,0.009606679138351108,0.38956709871868606,0.22439894419516093,1.7360469324663022
persist_class,22,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,22,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,22,5000,5.959963190025249e-05,0.004442415609868347,0.004779143968887917,0.013416041436523486,0.012470775579945758,1.0757984818600865
zscore_rule,22,5000,0.0008872443700226677,0.0032870854768441028,0.006348978151711756,0.26991825319811946,0.1397460109046771,1.9314916501068131
sklearn_hist_gradient_boosting,22,5000,0.0015743938865046873,0.0044942099649796395,0.008178489362566412,0.35031605082381145,0.19250424090673907,1.8197835495661945
persist_class,23,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,23,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,23,5000,1.319903319666178e-05,0.006409629829833086,0.006422365141962115,0.002059250463299454,0.002055167045925593,1.0019869029050248
zscore_rule,23,5000,0.0012154338313240289,0.004871117846262285,0.007798476651241543,0.24951846161074867,0.15585528888267272,1.600962427387275
sklearn_hist_gradient_boosting,23,5000,0.002095287618000715,0.006190985178718913,0.010075713740931117,0.33844171121635414,0.2079542622860468,1.6274814831677664
persist_class,24,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,24,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,24,5000,-6.761178812024195e-05,0.006960326849038488,0.007009188025056338,-0.009713881199355165,-0.009646165558484715,1.0070199542460567
zscore_rule,24,5000,0.0019050333951861902,0.005908016095052313,0.012466429173065225,0.32244891762931494,0.15281307652251985,2.110087205670492
sklearn_hist_gradient_boosting,24,5000,0.00271101579360288,0.007313795260459551,0.013954652272665997,0.37067154562821836,0.19427326031714495,1.9079905542487359
persist_class,25,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,25,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,25,5000,-6.902417154488974e-05,0.007351513039470341,0.007700235753614106,-0.00938911094550174,-0.008963903671714629,1.0474355023614146
zscore_rule,25,5000,0.001541785129737936,0.005386594493370681,0.010915425385898434,0.2862263219619412,0.14124828627657132,2.026405625916732
sklearn_hist_gradient_boosting,25,5000,0.0028694676154990702,0.0076785395635867474,0.013660985462326442,0.3736996588656898,0.21004836169486743,1.7791124665307076
persist_class,26,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,26,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,26,5000,0.00012110381385365143,0.006599819730192572,0.006785434222085224,0.018349563897879045,0.017847614447352958,1.0281241760352198
zscore_rule,26,5000,0.001717466774544544,0.005129141838620654,0.010030842997789878,0.3348448587661617,0.1712185880013233,1.9556571671036895
sklearn_hist_gradient_boosting,26,5000,0.0024574291051338206,0.0070386442828068415,0.012338922679725686,0.34913386817068376,0.19916075081430473,1.7530254668311243
